Fixture_ID,Date,Time,Status_Long,Status_Short,Elapsed,Home_Team,Away_Team,Home_Goals,Away_Goals,Venue,Referee
1150238,2024-01-25,01:00:00,Match Finished,FT,90,Atletico San Luis,Tigres UANL,1,2,Estadio Alfonso Lastras Ramírez,V. Cáceres
1150240,2024-01-25,03:06:00,Match Finished,FT,90,FC Juarez,Club America,0,2,Estadio Olímpico Benito Juárez,L. Santander
1150229,2024-01-27,01:00:00,Match Finished,FT,90,Puebla,Toluca,1,1,Estadio Cuauhtémoc,I. López
1150230,2024-01-27,03:00:00,Match Finished,FT,90,Club Tijuana,Guadalajara Chivas,1,1,Estadio Caliente,B. González
1150232,2024-01-27,23:00:00,Match Finished,FT,90,Leon,Santos Laguna,3,2,Estadio León,D. Quintero
1150231,2024-01-27,23:00:00,Match Finished,FT,90,Cruz Azul,Mazatlan,2,1,Estadio Ciudad de los Deportes,L. Santander
1150233,2024-01-28,01:00:00,Match Finished,FT,90,Monterrey,Atletico San Luis,3,1,Estadio BBVA,J. Lopez
1150234,2024-01-28,03:05:00,Match Finished,FT,90,Necaxa,Club America,0,0,Estadio Victoria,D. Montaño
1150236,2024-01-28,23:15:00,Match Finished,FT,90,U.N.A.M. - Pumas,Pachuca,3,1,Estadio Olímpico Universitario,M. Quintero
1150235,2024-01-29,01:00:00,Match Finished,FT,90,Atlas,FC Juarez,2,1,Estadio Jalisco,F. Hernández
1150237,2024-01-29,03:00:00,Match Finished,FT,90,Club Queretaro,Tigres UANL,1,1,Estadio Corregidora,I. Lopez
1150241,2024-01-31,01:00:00,Match Finished,FT,90,Cruz Azul,Club Tijuana,1,0,Estadio Ciudad de los Deportes,J. Lopez
1150242,2024-01-31,01:00:00,Match Finished,FT,90,Mazatlan,Leon,2,2,Estadio El Encanto,E. Morales
1150245,2024-01-31,03:00:00,Match Finished,FT,90,Santos Laguna,Puebla,3,0,Estadio Corona,B. González
1150243,2024-01-31,03:05:00,Match Finished,FT,90,Guadalajara Chivas,Toluca,3,2,Estadio AKRON,F. Hernández
1150244,2024-02-01,01:00:00,Match Finished,FT,90,Pachuca,Atlas,4,3,Estadio Hidalgo,D. Quintero
1150246,2024-02-01,03:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Necaxa,2,2,Estadio Olímpico Universitario,C. Ramos
1150247,2024-02-03,01:00:00,Match Finished,FT,90,Club Queretaro,Cruz Azul,1,3,Estadio Corregidora,J. Camacho
1150248,2024-02-03,03:00:00,Match Finished,FT,90,Puebla,Mazatlan,3,2,Estadio Cuauhtémoc,F. Guerrero
1150249,2024-02-03,23:00:00,Match Finished,FT,90,Toluca,Leon,4,1,Estadio Nemesio Díez,I. Lopez
1150252,2024-02-04,01:05:00,Match Finished,FT,90,Tigres UANL,U.N.A.M. - Pumas,2,2,Estadio Universitario,F. Hernández
1150251,2024-02-04,01:10:00,Match Finished,FT,90,Pachuca,Club Tijuana,3,2,Estadio Hidalgo,G. Pacheco
1150253,2024-02-04,03:10:00,Match Finished,FT,90,Club America,Monterrey,1,1,Estadio Azteca,C. Ramos
1150250,2024-02-04,23:06:00,Match Finished,FT,90,FC Juarez,Necaxa,2,2,Estadio Olímpico Benito Juárez,M. Ortíz
1150254,2024-02-05,00:00:00,Match Finished,FT,90,Atlas,Santos Laguna,3,0,Estadio Jalisco,M. Terrazas
1150255,2024-02-05,01:00:00,Match Finished,FT,90,Atletico San Luis,Guadalajara Chivas,0,2,Estadio Alfonso Lastras Ramírez,Ó. Mejía
1150226,2024-02-08,03:10:00,Match Finished,FT,90,Pachuca,Leon,3,2,Estadio Hidalgo,A. Quirarte
1150256,2024-02-10,01:00:00,Match Finished,FT,90,Mazatlan,Atlas,2,0,Estadio El Encanto,V. Cáceres
1150257,2024-02-10,03:10:00,Match Finished,FT,90,Club Tijuana,Club Queretaro,1,1,Estadio Caliente,A. Escobedo
1150258,2024-02-10,23:00:00,Match Finished,FT,90,Necaxa,Toluca,3,3,Estadio Victoria,D. Quintero
1150259,2024-02-10,23:05:00,Match Finished,FT,90,Guadalajara Chivas,FC Juarez,2,1,Estadio AKRON,V. Arce
1150261,2024-02-11,01:00:00,Match Finished,FT,90,Leon,Club America,0,1,Estadio León,M. Ortíz
1150260,2024-02-11,01:05:00,Match Finished,FT,90,Cruz Azul,Atletico San Luis,3,0,Estadio Ciudad de los Deportes,F. Guerrero
1150262,2024-02-11,03:10:00,Match Finished,FT,90,Monterrey,Pachuca,3,2,Estadio BBVA,F. Hernández
1150263,2024-02-11,03:10:00,Match Finished,FT,90,Santos Laguna,Tigres UANL,0,3,Estadio Corona,Ó. Mejía
1150264,2024-02-11,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Puebla,3,0,Estadio Olímpico Universitario,G. Pacheco
1150283,2024-02-15,03:00:00,Match Finished,FT,90,Atlas,U.N.A.M. - Pumas,0,0,Estadio Jalisco,J. Lopez
1150265,2024-02-17,01:00:00,Match Finished,FT,90,Club Queretaro,Necaxa,1,1,Estadio Corregidora,F. Hernández
1150266,2024-02-17,03:00:00,Match Finished,FT,90,Mazatlan,Guadalajara Chivas,2,2,Estadio El Encanto,A. Escobedo
1150268,2024-02-17,23:00:00,Match Finished,FT,90,Atletico San Luis,Club Tijuana,3,3,Estadio Alfonso Lastras Ramírez,D. Quintero
1150269,2024-02-18,01:00:00,Match Finished,FT,90,Pachuca,Club America,2,1,Estadio Hidalgo,V. Cáceres
1150270,2024-02-18,03:05:00,Match Finished,FT,90,Cruz Azul,Tigres UANL,1,0,Estadio Ciudad de los Deportes,M. Ortíz
1150271,2024-02-18,22:00:00,Match Finished,FT,90,Atlas,Leon,0,1,Estadio Jalisco,Ó. Mejía
1150272,2024-02-19,00:05:00,Match Finished,FT,90,U.N.A.M. - Pumas,Santos Laguna,3,0,Estadio Olímpico Universitario,I. Lopez
1150273,2024-02-19,02:10:00,Match Finished,FT,90,Monterrey,Toluca,0,0,Estadio BBVA,L. Santander
1150284,2024-02-21,01:00:00,Match Finished,FT,90,Puebla,Pachuca,1,4,Estadio Cuauhtémoc,M. Quintero
1150285,2024-02-21,03:00:00,Match Finished,FT,90,Necaxa,Guadalajara Chivas,1,0,Estadio Victoria,B. González
1150286,2024-02-22,01:00:00,Match Finished,FT,90,Toluca,Santos Laguna,1,0,Estadio Nemesio Díez,A. Quirarte
1150288,2024-02-22,03:00:00,Match Finished,FT,90,Club America,Mazatlan,2,2,Estadio Azteca,I. Lopez
1150287,2024-02-22,03:00:00,Match Finished,FT,90,Leon,Cruz Azul,2,3,Estadio León,D. Montaño
1150274,2024-02-24,01:00:00,Match Finished,FT,90,Puebla,Club Queretaro,0,2,Estadio Cuauhtémoc,J. Lopez
1150275,2024-02-24,03:00:00,Match Finished,FT,90,Necaxa,Pachuca,1,1,Estadio Victoria,J. Camacho
1150276,2024-02-24,03:10:00,Match Finished,FT,90,FC Juarez,Monterrey,0,3,Estadio Olímpico Benito Juárez,M. Ortíz
1150277,2024-02-24,23:00:00,Match Finished,FT,90,Leon,Atletico San Luis,1,0,Estadio León,I. López
1150279,2024-02-25,01:00:00,Match Finished,FT,90,Tigres UANL,Atlas,1,1,Estadio Universitario,C. Ramos
1150278,2024-02-25,01:05:00,Match Finished,FT,90,Guadalajara Chivas,U.N.A.M. - Pumas,3,1,Estadio AKRON,Ó. Macías
1150280,2024-02-25,03:10:00,Match Finished,FT,90,Club America,Cruz Azul,1,0,Estadio Azteca,Ó. Mejía
1150281,2024-02-25,18:00:00,Match Finished,FT,90,Toluca,Club Tijuana,2,0,Estadio Nemesio Díez,D. Montaño
1150282,2024-02-26,00:00:00,Match Finished,FT,90,Santos Laguna,Mazatlan,1,0,Estadio Corona,F. Guerrero
1150289,2024-02-28,01:00:00,Match Finished,FT,90,Club Queretaro,Atletico San Luis,4,1,Estadio Corregidora,E. Morales
1150290,2024-02-29,01:00:00,Match Finished,FT,90,Tigres UANL,FC Juarez,1,0,Estadio Universitario,J. Lopez
1150291,2024-02-29,03:00:00,Match Finished,FT,90,Club Tijuana,Monterrey,1,1,Estadio Caliente,Ó. Mejía
1150292,2024-03-02,01:00:00,Match Finished,FT,90,Club Queretaro,Santos Laguna,0,1,Estadio Corregidora,B. González
1150293,2024-03-02,01:00:00,Match Finished,FT,90,Atletico San Luis,Puebla,4,0,Estadio Alfonso Lastras Ramírez,V. Arce
1150294,2024-03-02,03:00:00,Match Finished,FT,90,Mazatlan,Necaxa,2,1,Estadio El Encanto,M. Ortíz
1150295,2024-03-02,23:00:00,Match Finished,FT,90,Toluca,Tigres UANL,2,1,Estadio Nemesio Díez,A. Escobedo
1150296,2024-03-03,01:00:00,Match Finished,FT,90,Pachuca,FC Juarez,3,2,Estadio Hidalgo,A. Quirarte
1150297,2024-03-03,01:05:00,Match Finished,FT,90,Cruz Azul,Guadalajara Chivas,3,0,Estadio Azteca,C. Ramos
1150298,2024-03-03,03:10:00,Match Finished,FT,90,Atlas,Club America,1,5,Estadio Jalisco,F. Guerrero
1150299,2024-03-04,01:00:00,Match Finished,FT,90,Monterrey,U.N.A.M. - Pumas,3,0,Estadio BBVA,V. Cáceres
1150300,2024-03-04,03:00:00,Match Finished,FT,90,Club Tijuana,Leon,1,1,Estadio Caliente,G. Pacheco
1150301,2024-03-09,01:00:00,Match Finished,FT,90,Puebla,Atlas,2,2,Estadio Cuauhtémoc,L. Santander
1150303,2024-03-09,03:00:00,Match Finished,FT,90,Necaxa,Atletico San Luis,3,1,Estadio Victoria,F. Hernández
1150302,2024-03-09,03:10:00,Match Finished,FT,90,FC Juarez,Toluca,1,1,Estadio Olímpico Benito Juárez,F. Guerrero
1150304,2024-03-09,23:05:00,Match Finished,FT,90,Guadalajara Chivas,Leon,1,2,Estadio AKRON,D. Quintero
1150306,2024-03-10,01:00:00,Match Finished,FT,90,Santos Laguna,Cruz Azul,3,0,Estadio Corona,A. Escobedo
1150305,2024-03-10,01:00:00,Match Finished,FT,90,Pachuca,Club Queretaro,1,2,Estadio Hidalgo,K. Garcia
1150307,2024-03-10,03:00:00,Match Finished,FT,90,Club America,Tigres UANL,2,0,Estadio Azteca,V. Cáceres
1150308,2024-03-10,18:00:00,Match Finished,FT,90,U.N.A.M. - Pumas,Club Tijuana,3,3,Estadio Olímpico Universitario,M. Ortíz
1150309,2024-03-11,01:00:00,Match Finished,FT,90,Monterrey,Mazatlan,2,1,Estadio BBVA,C. Ramos
1150310,2024-03-16,01:00:00,Match Finished,FT,90,Club Queretaro,FC Juarez,1,0,Estadio Corregidora,L. Santander
1150311,2024-03-16,03:00:00,Match Finished,FT,90,Club Tijuana,Santos Laguna,2,2,Estadio Caliente,D. Quintero
1150312,2024-03-16,23:00:00,Match Finished,FT,90,Cruz Azul,Necaxa,1,2,Estadio Ciudad de los Deportes,F. Guerrero
1150315,2024-03-17,01:00:00,Match Finished,FT,90,Tigres UANL,Mazatlan,5,1,Estadio Universitario,Ó. Mejía
1150313,2024-03-17,01:00:00,Match Finished,FT,90,Leon,Puebla,2,1,Estadio León,K. Hernández
1150316,2024-03-17,03:05:00,Match Finished,FT,90,Guadalajara Chivas,Club America,0,0,Estadio AKRON,F. Hernández
1150317,2024-03-17,23:00:00,Match Finished,FT,90,Atlas,Monterrey,1,2,Estadio Jalisco,I. Lopez
1150314,2024-03-18,01:00:00,Match Finished,FT,90,Toluca,U.N.A.M. - Pumas,3,0,Estadio Nemesio Díez,C. Ramos
1150318,2024-03-18,01:00:00,Match Finished,FT,90,Atletico San Luis,Pachuca,2,1,Estadio Alfonso Lastras Ramírez,V. Cáceres
1150267,2024-03-24,01:00:00,Match Finished,FT,90,FC Juarez,Puebla,4,3,Estadio Olímpico Benito Juárez,C. Ramos
1150319,2024-03-30,01:00:00,Match Finished,FT,90,Puebla,Tigres UANL,2,3,Estadio Cuauhtémoc,J. Camacho
1150321,2024-03-30,02:00:00,Match Finished,FT,90,Club America,Atletico San Luis,2,1,Estadio Azteca,J. Lopez
1150320,2024-03-30,03:00:00,Match Finished,FT,90,Mazatlan,Club Tijuana,2,0,Estadio El Encanto,F. Guerrero
1150323,2024-03-31,01:00:00,Match Finished,FT,90,Monterrey,Guadalajara Chivas,0,2,Estadio BBVA,A. Escobedo
1150322,2024-03-31,01:00:00,Match Finished,FT,90,Pachuca,Toluca,2,3,Estadio Hidalgo,D. Quintero
1150324,2024-03-31,03:05:00,Match Finished,FT,90,U.N.A.M. - Pumas,Cruz Azul,0,0,Estadio Olímpico Universitario,F. Hernández
1150325,2024-03-31,23:00:00,Match Finished,FT,90,Atlas,Club Queretaro,2,3,Estadio Jalisco,C. Ramos
1150326,2024-04-01,01:00:00,Match Finished,FT,90,Necaxa,Leon,1,2,Estadio Victoria,V. Cáceres
1150327,2024-04-01,01:36:00,Match Finished,FT,90,FC Juarez,Santos Laguna,2,1,Estadio Olímpico Benito Juárez,E. Miranda
1150328,2024-04-06,01:00:00,Match Finished,FT,90,Mazatlan,U.N.A.M. - Pumas,0,4,Estadio El Encanto,V. Cáceres
1150329,2024-04-06,03:10:00,Match Finished,FT,90,Club Tijuana,Necaxa,2,3,Estadio Caliente,I. Lopez
1150330,2024-04-06,23:00:00,Match Finished,FT,90,Leon,Club Queretaro,0,2,Estadio León,A. Escobedo
1150332,2024-04-07,01:00:00,Match Finished,FT,90,Tigres UANL,Pachuca,0,3,Estadio Universitario,F. Hernández
1150331,2024-04-07,01:05:00,Match Finished,FT,90,Guadalajara Chivas,Puebla,3,2,Estadio AKRON,F. Guerrero
1150334,2024-04-07,03:05:00,Match Finished,FT,90,Santos Laguna,Club America,1,1,Estadio Corona,L. Santander
1150333,2024-04-07,03:05:00,Match Finished,FT,90,Cruz Azul,Monterrey,2,1,Estadio Ciudad de los Deportes,M. Ortíz
1150335,2024-04-07,18:00:00,Match Finished,FT,90,Toluca,Atlas,4,1,Estadio Nemesio Díez,K. Hernández
